"Remittances, inflows (% of GDP)"
"76"," Sri Lanka","4.99","","6.15","","6.96","","8.10","","7.27","","7.89","","8.77","","8.64","","8.87","","8.69","","8.88","","8.25",""
"167"," Sudan","0.50","","2.50","","5.23","","2.65","","2.22","","1.22","","0.88","","0.86","","0.62","","0.16","","0.16","","0.18",""
"100"," Suriname","0.13","","0.04","","0.14","","0.22","","0.10","","0.09","","0.16","","0.14","","0.17","","0.14","","0.05","","0.02",""
"7"," Sweden","0.06","","0.10","","0.17","","0.47","","0.83","","0.78","","0.79","","0.79","","0.79","","0.68","","0.56","","0.55",""
"2"," Switzerland","0.36","","0.43","","0.37","","0.42","","0.43","","0.37","","0.36","","0.35","","0.34","","0.37","","0.37","","0.37",""
"155"," Syrian Arab Republic","3.13","","2.98","","0.93","","2.85","","","","","","","","","","","","","","","","",""
"127"," Tajikistan","","","","","","","20.18","","35.81","","41.74","","42.22","","43.47","","36.64","","28.76","","26.86","","31.56",""
"154"," Tanzania (United Republic of)","","","0.02","","0.08","","0.11","","1.10","","1.21","","1.00","","0.86","","0.81","","0.85","","0.87","","0.83",""
"83"," Thailand","1.14","","1.00","","1.34","","0.63","","1.30","","1.42","","1.42","","1.57","","1.60","","1.47","","1.52","","1.48",""
"80"," The former Yugoslav Republic of Macedonia","","","","","2.15","","3.62","","4.12","","4.14","","4.04","","3.48","","3.23","","3.05","","2.71","","2.77",""
"132"," Timor-Leste","","","","","","","","","3.43","","2.41","","1.80","","0.60","","1.08","","1.98","","3.18","","2.95",""
"165"," Togo","1.65","","1.15","","2.65","","9.10","","10.61","","6.50","","8.92","","9.74","","9.53","","8.89","","8.00","","8.36",""
"98"," Tonga","21.10","","","","","","26.18","","20.91","","18.61","","24.90","","26.85","","28.98","","31.76","","19.97","","34.24",""
"69"," Trinidad and Tobago","0.07","","0.57","","0.47","","0.58","","0.41","","0.64","","0.54","","0.55","","0.53","","0.64","","0.65","","0.61",""
