Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Female share of employment in senior and middle management (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Total unemployment rate (female to male ratio),[Gender] Youth unemployment rate (female to male ratio),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
MLT,0.745,0.61,13.1,7.4,,28.7,1.06,0.9,0.865,76.2,17960.0,0.784,3.2,56.9,47.1,6.4,11.9,12.8
MMR,0.366,0.268,6.7,2.5,,45.4,1.38,1.14,0.602,59.1,753.0,0.305,78.3,10.7,72.7,0.9,1.6,87.2
MNE,,,,,,44.9,0.91,0.98,0.841,74.7,12933.0,0.7340000000000001,8.6,67.4,37.4,29.5,51.9,11.5
MNG,0.574,0.527,9.7,7.7,,48.0,0.93,1.01,0.623,60.5,4496.0,0.575,46.9,38.9,52.2,9.6,18.4,59.9
MOZ,0.212,0.133,3.6,1.0,,25.3,1.2,0.98,0.358,43.3,373.0,0.19899999999999998,85.4,11.7,63.4,25.1,42.1,91.2
MRT,0.379,0.184,3.9,2.3,,16.8,1.25,1.08,0.594,58.6,2703.0,0.498,81.3,12.4,47.0,9.8,15.3,55.5
MUS,0.626,0.489,10.6,5.8,,31.5,1.75,1.11,0.765,69.7,7648.0,0.655,16.1,42.8,53.9,10.1,22.9,15.9
MWI,0.34600000000000003,0.239,5.6,2.5,,37.4,1.45,1.09,0.41,46.6,1662.0,0.425,84.0,5.2,71.3,7.7,10.6,68.1
MYS,0.652,0.499,9.9,6.7,,37.1,1.29,1.07,0.784,71.0,10769.0,0.7070000000000001,26.6,45.8,60.0,3.8,11.0,29.1
NAM,0.5820000000000001,0.496,11.1,5.6,,40.3,1.28,1.13,0.64,61.6,6148.0,0.622,48.3,36.7,45.7,19.1,36.4,43.3
