Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
TON,0.6709999999999999,0.685,13.7,9.1,0.1,0.7759999999999999,70.4,4330.0,0.569
TTO,0.6970000000000001,0.611,11.5,8.8,19.4,0.745,68.4,13737.0,0.7440000000000001
TUN,0.623,0.47700000000000004,11.8,4.4,6.7,0.804,72.3,6495.0,0.63
TUR,0.624,0.442,9.8,5.1,2.4,0.741,68.2,13562.0,0.742
TUV,,,,,8.3,0.665,63.2,4508.0,0.575
TZA,0.375,0.28800000000000003,5.4,4.2,17.5,0.46,49.9,1382.0,0.397
UGA,0.353,0.33299999999999996,7.7,3.6,18.1,0.382,44.8,984.0,0.345
UKR,0.6629999999999999,0.696,12.7,10.3,3.8,0.73,67.5,4444.0,0.573
URY,0.727,0.629,13.5,7.6,6.9,0.8320000000000001,74.1,12920.0,0.7340000000000001
USA,0.8809999999999999,0.865,15.8,12.7,11.2,0.867,76.4,42033.0,0.9129999999999999
UZB,,,10.7,,6.0,0.7170000000000001,66.6,2272.0,0.47200000000000003
VCT,,,12.5,,9.5,0.779,70.6,6535.0,0.631
VEN,0.664,0.48700000000000004,10.6,5.8,6.3,0.792,71.5,15331.0,0.76
VNM,0.539,0.415,9.0,4.9,26.2,0.8079999999999999,72.5,2208.0,0.467
VUT,,,,,,0.711,66.2,2444.0,0.483
WSM,0.63,0.61,11.8,8.5,4.1,0.742,68.2,3873.0,0.552
YEM,0.4270000000000001,0.24100000000000002,7.6,0.9,,0.611,59.7,3297.0,0.528
ZAF,0.644,0.643,13.0,8.4,23.7,0.609,59.6,9150.0,0.682
ZMB,0.419,0.452,9.1,6.0,9.7,0.359,43.3,1992.0,0.452
ZWE,0.45899999999999996,0.469,9.8,5.9,14.7,0.43,48.0,2416.0,0.48100000000000004
