Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
POL,0.748,0.723,13.3,10.6,0.8029999999999999,72.2,11892.0,0.722,0.6
PRK,,,,,0.7,65.5,,,
PRT,0.767,0.644,15.4,6.5,0.856,75.6,22608.0,0.8190000000000001,0.6
PRY,0.613,0.488,10.3,6.1,0.7559999999999999,69.1,6280.0,0.625,
PSE,,,10.2,,0.768,69.9,3207.0,0.524,
QAT,0.7959999999999999,0.588,13.6,6.3,0.8590000000000001,75.8,76580.0,1.0,
ROU,0.695,0.622,10.8,9.6,0.763,69.6,10872.0,0.708,0.7
RUS,0.701,0.674,11.9,10.3,0.705,65.8,12254.0,0.726,1.0
RWA,0.262,0.244,6.3,2.0,0.245,35.9,736.0,0.302,
SAU,0.727,0.529,11.5,6.3,0.789,71.3,44076.0,0.92,
SDN,0.375,0.20600000000000002,5.0,2.1,0.57,57.0,1937.0,0.44799999999999995,
SEN,0.369,0.203,4.9,2.0,0.575,57.3,1728.0,0.43,
SGP,0.782,0.583,11.8,7.6,0.885,77.5,46037.0,0.9259999999999999,1.3
SLB,,,7.2,,0.623,60.5,1921.0,0.446,
SLE,0.26899999999999996,0.23199999999999998,5.9,2.0,0.24600000000000002,36.0,962.0,0.342,
SLV,0.585,0.447,10.8,4.4,0.733,67.6,5727.0,0.611,
SMR,,,,,,,,,
SOM,,,,,0.4320000000000001,48.1,,,
SRB,0.6990000000000001,0.654,12.8,8.9,0.7979999999999999,71.9,7555.0,0.653,
SSD,,,,,0.42200000000000004,47.4,,,
STP,0.474,0.371,8.9,3.7,0.6579999999999999,62.8,1809.0,0.4370000000000001,
SUR,,,11.4,,0.735,67.8,9327.0,0.685,
SVK,0.754,0.713,12.2,11.2,0.8059999999999999,72.4,14159.0,0.748,0.9
SVN,0.7879999999999999,0.732,12.8,11.3,0.843,74.8,19192.0,0.794,1.3
SWE,0.863,0.821,16.3,11.0,0.907,79.0,30489.0,0.8640000000000001,
SWZ,0.513,0.40399999999999997,9.6,4.2,0.5379999999999999,54.9,6155.0,0.622,
SYC,,,11.9,,0.785,71.0,15741.0,0.764,
SYR,0.583,0.42200000000000004,9.8,4.5,0.8029999999999999,72.2,4815.0,0.585,
TCD,,,3.7,,0.423,47.5,1022.0,0.35100000000000003,
TGO,0.41700000000000004,0.363,8.7,3.6,0.529,54.4,1218.0,0.37799999999999995,
THA,0.619,0.446,9.8,5.2,0.773,70.2,9526.0,0.688,0.1
TJK,0.534,0.634,10.1,10.6,0.6709999999999999,63.6,1063.0,0.35700000000000004,
TKM,,,,,0.6609999999999999,63.0,4852.0,0.586,
TLS,,,,,0.5379999999999999,55.0,7867.0,0.659,
TON,0.6709999999999999,0.685,13.7,9.1,0.774,70.3,4377.0,0.5710000000000001,
TTO,0.69,0.604,11.3,8.7,0.7440000000000001,68.4,12488.0,0.7290000000000001,0.1
TUN,0.616,0.47,11.8,4.3,0.7979999999999999,71.9,6190.0,0.623,
TUR,0.615,0.435,9.7,5.0,0.732,67.6,12804.0,0.733,0.5
TUV,,,,,0.6629999999999999,63.1,4163.0,0.563,
TZA,0.3720000000000001,0.28600000000000003,5.4,4.1,0.456,49.6,1377.0,0.396,
UGA,0.33799999999999997,0.3,6.6,3.5,0.376,44.4,960.0,0.342,
UKR,0.6609999999999999,0.684,12.4,10.2,0.733,67.6,4540.0,0.5760000000000001,
URY,0.7170000000000001,0.615,13.2,7.5,0.8290000000000001,73.9,11904.0,0.722,0.3
USA,0.879,0.8640000000000001,15.8,12.7,0.865,76.2,40761.0,0.9079999999999999,2.4
UZB,,,10.7,,0.715,66.5,2216.0,0.46799999999999997,
VCT,,,12.5,,0.779,70.6,6393.0,0.628,
VEN,0.66,0.484,10.6,5.7,0.787,71.2,14804.0,0.755,
VNM,0.54,0.4270000000000001,9.6,4.8,0.804,72.2,2076.0,0.45799999999999996,
VUT,,,,,0.7040000000000001,65.8,2414.0,0.48100000000000004,
WSM,0.628,0.609,11.9,8.3,0.736,67.8,3865.0,0.552,
YEM,0.42200000000000004,0.237,7.6,0.8,0.608,59.5,3205.0,0.524,
ZAF,0.647,0.639,13.0,8.3,0.623,60.5,9071.0,0.6809999999999999,
ZMB,0.41600000000000004,0.447,8.9,6.0,0.35700000000000004,43.2,1977.0,0.451,0.0
ZWE,0.466,0.46299999999999997,9.8,5.7,0.451,49.3,2452.0,0.483,
