Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
TZA,0.40299999999999997,0.32299999999999995,6.5,4.3,0.4970000000000001,52.3,1482.0,0.40700000000000003
UGA,0.406,0.439,11.0,4.0,0.433,48.1,1035.0,0.353
UKR,0.6809999999999999,0.728,13.7,10.4,0.727,67.3,5207.0,0.597
URY,0.746,0.674,14.7,8.0,0.847,75.0,12337.0,0.727
USA,0.887,0.8590000000000001,15.6,12.7,0.8759999999999999,77.0,46318.0,0.927
UZB,0.602,0.614,11.0,9.2,0.7290000000000001,67.4,2519.0,0.48700000000000004
VCT,0.677,0.614,12.9,7.6,0.779,70.6,7388.0,0.65
VEN,0.68,0.518,11.0,6.4,0.8079999999999999,72.5,14538.0,0.752
VNM,0.5870000000000001,0.485,10.7,5.6,0.823,73.5,2854.0,0.506
VUT,,,10.2,,0.736,67.8,2562.0,0.49
WSM,0.654,0.632,12.0,8.9,0.764,69.6,4661.0,0.58
YEM,0.45,0.268,8.0,1.3,0.625,60.6,3657.0,0.544
ZAF,0.61,0.609,12.9,7.5,0.5429999999999999,55.3,9391.0,0.6859999999999999
ZMB,0.44,0.47700000000000004,10.0,6.0,0.392,45.4,2068.0,0.45799999999999996
ZWE,0.442,0.502,10.0,6.7,0.374,44.3,2114.0,0.461
