Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
ARE_ERI,2.6008184720855647,2.215469718490524,2.390547719449954,1.8280656460211833,1.5650466832150802,1.5670288907948238,3.824644214974736,3.2552848661156517
ARE_ESP,0.10861886890380568,0.38344668204643717,0.8964553947937328,0.12607349282904723,0.5531630518260204,0.5603944377676858,2.1084052493401506,0.6412748150277909
ARE_EST,0.01810314481730102,0.9160115182220441,0.866573548300609,0.8509960765960682,0.1888849445259574,0.1867981459225615,2.5729855434224307,0.8858287699112704
ARE_ETH,2.679265432960535,2.0663515643613546,1.523974171149346,2.3323596173373717,1.7067103916095487,1.701938662850007,3.8486027537239087,3.581356805960291
ARE_FIN,0.3982691859806202,1.0278501338189217,1.1355101667387286,0.8194777033888063,0.3777698890519152,0.3839739666185994,1.601884052593588,0.43476258645951904
ARE_FJI,0.8146415167785412,0.15444380249092615,0.35858215791749354,0.06303674641452339,0.7420479963519776,0.7368149089167708,3.51059891941535,1.896651783429654
ARE_FRA,0.241375264230679,0.6284265066872166,0.8366917018074842,0.34670210527987955,0.5059418156945306,0.5085060639003077,1.8287094992233996,0.5217151037514229
ARE_FSM,1.4603203485956069,0.7775446608163856,0.5378732368762394,0.9140328230105916,0.7960151233593935,0.7887032827841491,3.7232107610344163,2.5487956631189324
ARE_GAB,1.1163605970668893,0.5165878910903385,0.23905477194499514,0.724922583767021,1.4975877744558095,1.494385167380494,3.1777636687470623,1.3858057443397183
ARE_GBR,0.349994133134484,0.9905705952866293,0.8366917018074842,1.0085879426323776,0.39800756167969675,0.39435164139207457,1.8592364463487505,0.5325841684129111
ARE_GEO,0.6637819766343667,0.399423627131705,0.11952738597249729,0.8194777033888063,0.35078632554820727,0.3424632675246963,3.5583006392620184,2.0053424300445335
ARE_GHA,1.786176955307023,0.9319884633073117,0.8366917018074838,0.9455511962178536,1.6527432646021323,1.6500502889826287,3.7457694750476827,2.6629208420645565
ARE_GIN,2.667196669749001,2.1622132348729632,1.523974171149346,2.521469856580943,2.131701516792954,2.1274233285625086,3.818991076618189,3.1955050104774676
ARE_GMB,2.431855787124089,1.8693025749763799,1.2849193992043502,2.206286124508325,1.7674234094928924,1.7642047114908612,3.8174835730564434,3.18463594581598
ARE_GNB,2.552543419239429,1.8160460913588194,1.1056283202456036,2.2693228709228483,2.253127552559641,2.2519554258442174,3.8264209156010787,3.2770229954386276
ARE_GNQ,1.5206641646532768,1.3420633871625292,1.2251557062181015,1.3237716747049948,2.165430971172589,2.1585563528829357,2.325485762231535,0.7445309293119271
ARE_GRC,0.11465325050957231,0.5272391878138514,0.8964553947937328,0.15759186603630893,0.41824523430747873,0.4254846657125012,2.233205008487529,0.701054670665975
ARE_GRD,0.5974037789709293,0.09053602214985323,0.7171643158349863,0.4727755981089268,0.40475345255562384,0.4047293161655511,3.279789356229496,1.5107999879468295
ARE_GTM,1.4482515853840732,1.3527146838860407,0.8366917018074838,1.6704737799848743,0.5464171609500932,0.5396390882207343,3.5434948007091585,1.9673007037293253
ARE_GUY,1.3094608084514325,0.6444034517724844,0.7470461623281108,0.5042939713161885,1.05910486752055,1.0585228268945168,3.6088020085804997,2.1357712059823895
