"Concentration index (exports) (value)"
"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"33"," Poland","0.077","","0.072","","0.065","","0.064","","0.065","","0.065","","0.067",""
"41"," Portugal","0.075","","0.079","","0.080","","0.088","","0.079","","0.078","","0.071",""
"37"," Qatar","0.516","","0.527","","0.531","","0.526","","0.527","","0.519","","0.400",""
"52"," Romania","0.094","","0.091","","0.091","","0.098","","0.099","","0.103","","0.112",""
"49"," Russian Federation","0.366","","0.377","","0.382","","0.377","","0.370","","0.316","","0.305",""
"158"," Rwanda","0.430","","0.490","","0.367","","0.425","","0.359","","0.303","","0.327",""
"72"," Saint Kitts and Nevis","0.345","","0.300","","0.327","","0.311","","0.309","","0.336","","0.289",""
"90"," Saint Lucia","0.256","","0.341","","0.385","","0.409","","0.540","","0.468","","0.501",""
"99"," Saint Vincent and the Grenadines","0.607","","0.458","","0.366","","0.380","","0.371","","0.376","","0.373",""
"104"," Samoa","0.450","","0.438","","0.340","","0.302","","0.334","","0.335","","0.323",""
"143"," Sao Tome and Principe","0.379","","0.440","","0.456","","0.615","","0.589","","0.597","","0.593",""
"39"," Saudi Arabia","0.695","","0.726","","0.722","","0.746","","0.706","","0.554","","0.593",""
"164"," Senegal","0.264","","0.240","","0.249","","0.241","","0.237","","0.232","","0.215",""
"67"," Serbia","0.077","","0.074","","0.068","","0.114","","0.106","","0.091","","0.087",""
"62"," Seychelles","0.491","","0.421","","0.574","","0.630","","0.578","","0.502","","0.512",""
"184"," Sierra Leone","0.243","","0.244","","0.280","","0.419","","0.697","","0.540","","0.658",""
"9"," Singapore","0.266","","0.256","","0.246","","0.253","","0.250","","0.244","","0.240",""
"38"," Slovakia","0.159","","0.156","","0.166","","0.172","","0.174","","0.183","","0.195",""
"25"," Slovenia","0.166","","0.162","","0.156","","0.158","","0.156","","0.166","","0.106",""
"152"," Solomon Islands","0.683","","0.578","","0.559","","0.580","","0.512","","0.607","","0.713",""
"n.a"," Somalia","0.619","","0.619","","0.762","","0.730","","0.757","","0.752","","0.448",""
"113"," South Africa","0.136","","0.153","","0.136","","0.136","","0.119","","0.121","","0.121",""
"26"," Spain","0.096","","0.095","","0.091","","0.092","","0.092","","0.102","","0.107",""
"76"," Sri Lanka","0.212","","0.202","","0.203","","0.214","","0.204","","0.204","","0.201",""
"167"," Sudan","0.811","","0.803","","0.557","","0.670","","0.643","","0.658","","0.648",""
"100"," Suriname","0.491","","0.493","","0.517","","0.502","","0.459","","0.579","","0.489",""
"7"," Sweden","0.096","","0.096","","0.095","","0.091","","0.091","","0.089","","0.091",""
"2"," Switzerland","0.166","","0.168","","0.282","","0.354","","0.256","","0.267","","0.288",""
"155"," Syrian Arab Republic","0.337","","0.323","","0.174","","0.199","","0.175","","0.167","","0.165",""
"127"," Tajikistan","0.502","","0.467","","0.501","","0.487","","0.350","","0.361","","0.349",""
"154"," Tanzania (United Republic of)","0.232","","0.303","","0.353","","0.332","","0.257","","0.263","","0.322",""
"83"," Thailand","0.086","","0.080","","0.082","","0.079","","0.076","","0.077","","0.073",""
"80"," The former Yugoslav Republic of Macedonia","0.143","","0.168","","0.164","","0.172","","0.189","","0.205","","0.218",""
"132"," Timor-Leste","0.418","","0.422","","0.890","","0.900","","0.509","","0.673","","0.579",""
"165"," Togo","0.222","","0.207","","0.251","","0.253","","0.247","","0.207","","0.204",""
"98"," Tonga","0.301","","0.282","","0.321","","0.336","","0.315","","0.323","","0.320",""
"69"," Trinidad and Tobago","0.333","","0.348","","0.331","","0.378","","0.362","","0.346","","0.317",""
"95"," Tunisia","0.162","","0.165","","0.152","","0.149","","0.146","","0.141","","0.134",""
"64"," Turkey","0.074","","0.074","","0.092","","0.069","","0.069","","0.073","","0.078",""
"108"," Turkmenistan","0.527","","0.728","","0.772","","0.756","","0.762","","0.772","","0.722",""
"n.a"," Tuvalu","0.456","","0.744","","0.615","","0.739","","0.521","","0.548","","0.536",""
"162"," Uganda","0.191","","0.216","","0.165","","0.184","","0.186","","0.177","","0.170",""
"88"," Ukraine","0.130","","0.132","","0.121","","0.120","","0.127","","0.135","","0.144",""
"34"," United Arab Emirates","0.348","","0.387","","0.350","","0.342","","0.323","","0.256","","0.227",""
"14"," United Kingdom","0.111","","0.133","","0.118","","0.152","","0.111","","0.112","","0.108",""
"13"," United States","0.082","","0.083","","0.090","","0.095","","0.095","","0.097","","0.100",""
"55"," Uruguay","0.179","","0.178","","0.206","","0.228","","0.215","","0.218","","0.228",""
"105"," Uzbekistan","0.247","","0.238","","0.255","","0.281","","0.275","","0.310","","0.386",""
"138"," Vanuatu","0.531","","0.738","","0.603","","0.436","","0.574","","0.477","","0.532",""
"78"," Venezuela (Bolivarian Republic of)","0.679","","0.704","","0.754","","0.769","","0.645","","0.627","","0.612",""
"116"," Viet Nam","0.112","","0.118","","0.137","","0.168","","0.165","","0.191","","0.173",""
"178"," Yemen","0.691","","0.626","","0.648","","0.541","","0.559","","0.451","","0.349",""
"144"," Zambia","0.670","","0.700","","0.654","","0.617","","0.666","","0.655","","0.664",""
"156"," Zimbabwe","0.221","","0.251","","0.250","","0.288","","0.316","","0.341","","0.366",""
""
