"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"127"," Guatemala","-6.9","","-7.5","","-7.3","","-4.5","","-1.6","","-0.6"," a"
"175"," Guinea","5.8","","23.0","","-5.9","","-8.0","","-5.9","","-4.4"," a"
"177"," Guinea-Bissau","-5.9","","-5.6","","-9.9","","-6.1","","-3.4","","-1.2"," a"
"125"," Guyana","-27.1","","-15.4","","-21.2","","-17.1","","-14.8","","-7.2"," a"
"168"," Haiti","-4.0","","-3.8","","-3.5","","-3.1","","-2.9","","-2.9"," a"
"133"," Honduras","-3.2","","-2.9","","-2.1","","-1.2","","-0.6","","-0.3"," a"
"7"," Hong Kong, China (SAR)","8.0","","5.3","","11.7","","1.9","","2.6","","2.1"," a"
"45"," Hungary","-1.7","","1.9","","1.5","","1.2","","0.5","","0.6"," a"
"6"," Iceland","0.5","","-0.8","","0.7","","2.0","","7.8","","-1.3"," a"
"130"," India","0.0","","-0.1","","-0.1","","-0.4","","-0.5","","-0.4"," a"
"116"," Indonesia","-0.2","","-0.4","","-0.3","","-0.8","","-0.6","","-0.7"," a"
"60"," Iran (Islamic Republic of)","5.2","","-7.2","","1.9","","-0.2","","-1.5","","-1.0"," a"
"120"," Iraq","-7.6","","-1.6","","-0.2","","-2.1","","-3.2","","2.8"," a"
"4"," Ireland","-6.5","","-0.6","","4.4","","9.9","","9.0","","-6.0"," a"
"22"," Israel","3.0","","18.6","","8.6","","3.3","","7.8","","0.5"," a"
"28"," Italy","-0.0","","0.5","","0.8","","5.6","","3.4","","0.9"," a"
"97"," Jamaica","-12.3","","-8.2","","-6.4","","-6.3","","-6.3","","-6.5"," a"
"19"," Japan","-0.5","","0.1","","-0.2","","0.3","","0.4","","0.6"," a"
"95"," Jordan","10.6","","20.3","","-6.2","","-3.5","","20.2","","23.9"," a"
"58"," Kazakhstan","-8.1","","-17.3","","-17.0","","0.6","","-0.4","","1.9"," a"
"142"," Kenya","0.0","","1.7","","-0.1","","0.1","","-1.0","","-0.2"," a"
"134"," Kiribati","-2.2","","-12.3","","-7.3","","-4.6","","-1.2","","-4.0"," a"
"n.a"," Korea (Democratic People's Rep. of)","0.0","","0.0","","-0.1","","-0.1","","-0.2","","-0.2"," a"
"22"," Korea (Republic of)","0.8","","0.3","","0.7","","0.3","","-0.6","","0.7"," a"
"56"," Kuwait","12.5","","-70.6","","26.4","","2.5","","36.4","","38.7"," a"
