Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
IRN,0.5185508895456455,0.33028280869789445,0.28439474984063073,0.36930955903443463,0.5240035979406781,0.5199665252339172,0.11776986428205338,0.6732460312763058
IRQ,-0.0728185078195175,-0.4525875004802478,-0.4327695659943552,-0.38713139793984797,0.018061782246148194,0.021838136107086084,-0.13732127413049056,0.40695394706985044
ISL,1.4176737488049245,1.4273663712196445,1.987659999948723,0.9366402767651469,1.4009694118111973,1.4020688809793476,1.0351396210172448,1.238437393673681
ISR,1.3573299327472546,1.453994613028425,1.1509682981412392,1.630044487324906,1.3537481756797085,1.3501805071119695,0.7254014784914183,1.0862704884128496
ITA,1.284917353478051,1.027942744087939,1.3601412235931107,0.6529749178997908,1.407715302687125,1.4124465557528227,1.2142095083874687,1.3145208463040963
JAM,0.3194162965553353,0.32495716033613836,0.28439474984063073,0.36930955903443463,0.6589214154592197,0.6548762972891004,-0.3684538737938614,0.06457841023297795
JOR,0.4883789815168107,0.6711243038502832,0.5533313682787507,0.7475300375215763,0.530749488816606,0.5303442000073922,-0.27886509069583,0.2167453154938105
JPN,1.363364314353021,1.139781359684817,0.9119135261962442,1.2518240088377648,1.5291413384538117,1.526600978261056,1.19401972854266,1.303651781642609
KAZ,0.6271697584494511,1.1291300629613048,0.852149833209995,1.2833423820450265,-0.15733138052795578,-0.1545823350420003,0.09688017206929124,0.6569424342840737
KEN,-0.7969443005115541,-0.5005183357360524,-0.46265141248748004,-0.45016814435437164,-0.7981910137410272,-0.7979981709974912,-0.6849757823475435,-0.9679827326083802
KGZ,-0.14523108708872123,0.5965652267856976,0.19474921036125778,0.9051219035578852,-0.008921781257560109,-0.009294888213340579,-0.6679625278649847,-0.8647266183242445
KHM,-0.809013063723088,-0.8200572374414166,-0.3431240265149822,-1.112053981706869,-0.27201152541871604,-0.2687367575502319,-0.6837913152633148,-0.9625482002776362
KIR,-0.4228126409540022,0.03737214880131039,0.045339977895635625,0.0541258269618168,-0.2922491980464973,-0.29986978187066005,-0.6709775349884761,-0.8810302153164759
KNA,0.5004477447283446,0.17051335784521224,0.3441584428268799,0.0541258269618168,0.4632905800573352,0.4577004765930638,0.38136762993587675,0.879758259844577
KOR,1.3211236431126534,1.453994613028425,1.479668609565608,1.3148607552522882,1.212084467285239,1.2152707350567862,0.7286856826795072,1.0862704884128496
KWT,0.8082012066224604,0.09062863241887112,0.5533313682787507,-0.2925762783180627,0.5982083975758767,0.602987923421722,4.5208647316637895,1.8797122087014722
LAO,-0.7607380108769521,-0.8946163145060017,-0.7017061844324751,-0.95446211567056,-0.4743882516965283,-0.4762902530197457,-0.6180533920886174,-0.6201726634407646
LBN,0.5728603239975484,0.2610493799950655,0.4338039823062529,0.11716257337634042,1.0231995227592818,1.0284725891342248,-0.013921339719019326,0.5482517876691938
LBR,-1.5452076196266589,-0.9372215014000499,-0.6120606449531022,-1.0805356084996072,-1.02080541264662,-1.0159293412404793,-0.7787102002403757,-2.092930925072387
LBY,0.6151009952379172,0.31430586361262625,0.852149833209995,-0.13498441228175379,0.3823398895462103,0.38505675317873395,0.7392920470246468,1.091705020743593
LCA,0.3857944942187727,0.20246724801574867,0.3142765963337556,0.11716257337634042,0.6251919610795843,0.6237432729686737,-0.15099648501204105,0.39065035007761784
LIE,1.4719831832568273,1.1610839531318407,0.8820316797031194,1.3463791284595499,1.1716091220296774,1.173760035962883,5.456755246443286,1.8797122087014722
LKA,0.5004477447283446,0.8521963481499891,0.49356767529250206,1.1257505160087176,0.6454296337073663,0.6444986225156253,-0.4039878863207249,-0.006070510066693422
LSO,-1.056422709559534,-0.5218209291830768,-0.283360333528733,-0.6392783835979422,-1.9584842444004835,-1.9602977456267638,-0.649657127472358,-0.7669050363708525
LTU,1.0616452340646727,1.5605075802635462,1.479668609565608,1.5039709944958588,0.43630701655362614,0.4369451270461122,0.41458654770720216,0.901496389167553
LUX,1.4176737488049245,1.0066401506409153,0.5234495217856264,1.3463791284595499,1.218830358161167,1.2152707350567862,3.3942750163234607,1.8797122087014722
LVA,1.001301418007003,1.4859485031989612,1.3302593770999858,1.5039709944958588,0.4093234530499186,0.4058121027256855,0.32602071345464095,0.8417165335293697
MAR,-0.3202281536559635,-0.7934289956326362,-0.3730058730081065,-1.0490172352923457,0.530749488816606,0.5303442000073922,-0.4825395897702609,-0.17997554465050136
MDA,0.0659722691131223,0.6391704136797461,0.07522182438875995,1.0942321428014559,0.07202890925356555,0.07372650997446435,-0.5819271460196396,-0.47887482284142063
MDG,-0.9357350774441945,-0.6017056546094176,-0.6120606449531022,-0.4816865175616333,-0.5688307239595066,-0.5696893259810264,-0.7290164221156864,-1.3212273341067398
MDV,0.029765979478521106,-0.5750774128006375,0.015458131402511297,-0.985980488877822,0.7938392329777612,0.7897860693442835,-0.19939811722666262,0.33087049443943384
MEX,0.5245852711514125,0.2184441931010169,0.2545129033475064,0.18019931979086404,0.8140769056055431,0.8105414188912351,0.06495340020803363,0.6243352402996097
MHL,,,,,,,-0.5827885766263514,-0.47887482284142063
MKD,0.4401039286706749,0.3995162374007234,0.37404028932000427,0.40082793224169627,0.6521755245832925,0.6548762972891004,-0.22341049538875518,0.29826330045497046
MLI,-1.5995170540785613,-1.6934635687694117,-1.3889886537743372,-1.7424214458521046,-1.4323047560781716,-1.4310363321795054,-0.715018174756619,-1.1962330904996281
MLT,1.0495764708531394,0.8255681063412087,0.7923861402237464,0.8105667839360997,1.1918467946574587,1.1945153855098345,0.6825453058075042,1.064532359089873
MMR,-0.8814256429922918,-1.1076422489762443,-0.9108791098843465,-1.112053981706869,-0.3597081068057673,-0.3621358305115134,-0.6438424708770532,-0.7342978423863885
MNE,0.7900980618051588,1.0066401506409153,0.852149833209995,1.0942321428014559,0.6724131972110738,0.6756316468360519,-0.01499812797740913,0.5482517876691938
MNG,0.1685567564111609,0.5699369849769178,0.6130950612649999,0.49538305186348186,-0.15733138052795578,-0.16496000981547537,-0.41001790056770776,-0.01693957472818202
MOZ,-1.6115858172900956,-1.160898732593805,-0.7315880309255994,-1.3642009673649633,-1.5065095557133694,-1.5036800555938352,-0.767080887049766,-1.8375079055274193
MRT,-1.0805602359826016,-1.389901612149316,-1.3889886537743372,-1.2066091013286544,-0.6767649779743399,-0.6734660737157829,-0.6271522528720113,-0.6582143897559731
MUS,0.47631021830527737,0.34093410542140656,0.583213214771875,0.11716257337634042,0.517257707064751,0.5199665252339172,0.0002922652917260513,0.5645553846614257
MWI,-1.436588750722853,-0.9159189079530257,-0.552296951966853,-1.112053981706869,-1.4323047560781716,-1.4310363321795054,-0.7597587268927153,-1.7125136619203076
MYS,0.6392385216609844,0.4580983693800402,0.2545129033475064,0.6214565446925291,0.6117001793277309,0.6133655981951986,0.26846638104370607,0.7982402748834171
NAM,-0.4831564570116719,-0.30346934635107775,-0.10406925456998653,-0.41864977114710994,-1.2771492659318495,-1.2753712105773705,-0.37582987336383156,0.04827481324074596
NER,-2.124508253780288,-2.2153771082215066,-2.2555622020749455,-1.9000133118884135,-1.3108787203114842,-1.306504234897798,-0.7668116899851685,-1.8320733731966752
NGA,-1.0262508015306993,-0.7614751054620997,-0.7315880309255994,-0.7023151300124658,-1.8775335538893583,-1.8772763474389589,-0.5764355259018515,-0.45713669351844527
NIC,-0.24781557438675983,-0.38335407177741887,-0.13395110106311087,-0.5132048907688952,0.5240035979406781,0.5199665252339172,-0.590541452086758,-0.5114820168258847
NLD,1.5142238544971953,1.533879338454766,1.509550456058733,1.4409342480813354,1.2795433760445099,1.2775367836976395,1.6800281089668967,1.4829913485571609
NOR,1.7073240658817386,1.7415796245632529,1.6888415350174788,1.6615628605321675,1.3200187213000731,1.3190474827915428,2.6441843155291247,1.7492834327636162
NPL,-0.9236663142326605,-0.9745010399323425,-0.3730058730081065,-1.3642009673649633,-0.09661836264461135,-0.10269396117462205,-0.710064948768026,-1.152756831853676
NRU,,,-0.7315880309255994,,,,-0.39925001798380977,0.004798554594794575
